"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"misc3d","misc3d","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"mitools","mitools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"mnormt","mnormt","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.2",NA,"R (>= 2.2.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"ModelMetrics","ModelMetrics","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"modelr","modelr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"modeltools","modeltools","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"moments","moments","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.14",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"movMF","movMF","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-7",NA,"R (>= 3.0.0)","skmeans (>= 0.2-10), clue, slam (>= 0.1-43), stats",NA,"lattice, tm (>= 0.7-5), vcd, SnowballC, HSAUR3, colorspace,
corpus.useR.2008.abstracts, flexmix (>= 2.3-17), methods",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"msod","msod","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.0-2",NA,NA,"dplyr,
plyr,
Rfast,
parallel,
runjags,
tensor,
tidyr,
pbapply,
tibble,
ellipsis,
stats,
abind",NA,"testthat,
arrangements,
ggplot2,
plyr,
loo","car,
discreteRV,
FD","GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"multicool","multicool","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1-12",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"MuMIn","MuMIn","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.43.17",NA,"R (>= 3.5.0)","graphics, methods, Matrix, stats, stats4, nlme",NA,"lme4 (>= 1.1.0), mgcv (>= 1.7.5), gamm4, MASS, nnet, survival
(>= 3.1.0), geepack","aod, aods3, betareg, caper, coxme, cplm, gee, glmmML,
logistf, MCMCglmm, ordinal, pscl, spdep, spatialreg, splm,
unmarked (>= 0.12.2), geeM (>= 0.7.5), gamlss","GPL-2",NA,NA,NA,NA,"no","4.0.3"
"munsell","munsell","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"mvabund","mvabund","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4.1.12",NA,"R (>= 3.0.0)","Rcpp, MASS, methods, stats, tweedie, statmod, parallel","Rcpp, RcppGSL","testthat",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.0.3"
"mvtnorm","mvtnorm","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"ncdf4","ncdf4","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.17",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.0"
"ngram","ngram","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.0.4",NA,"R (>= 3.0.0)","methods",NA,NA,NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"nleqslv","nleqslv","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"nloptr","nloptr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"NLP","NLP","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2-1",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.0.3"
"numDeriv","numDeriv","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"odbc","odbc","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.2",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, rlang,
Rcpp (>= 0.12.11)","Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"openssl","openssl","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.5",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"openxlsx","openxlsx","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4.2.4",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"optextras","optextras","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2019-12.4",NA,NA,"numDeriv, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"optimx","optimx","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2022-4.30",NA,NA,"numDeriv",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"packrat","packrat","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 3.0.0), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pander","pander","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.6.4",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"parallelly","parallelly","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.28.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"parsedate","parsedate","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.1",NA,NA,"rematch2",NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"patchwork","patchwork","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pbapply","pbapply","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5-0",NA,"R (>= 3.2.0)","parallel",NA,"shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pbkrtest","pbkrtest","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"pbv","pbv","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4-22",NA,"R (>= 3.1)","Rcpp","Rcpp, RcppArmadillo","pbivnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"permute","permute","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9-5",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"perpixelbirds","perpixelbirds","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.0-4",NA,NA,"sflddata,
raster,
sf,
sp",NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.3"
"pillar","pillar","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.6.3",NA,NA,"cli, crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi, lifecycle,
rlang (>= 0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nycflights13, palmerpenguins, rmarkdown,
scales, stringi, survival, testthat (>= 3.0.2), tibble, units
(>= 0.7.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pingr","pingr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.1",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pixmap","pixmap","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4-12",NA,NA,"methods, graphics, grDevices",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"pkgbuild","pkgbuild","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"pkgconfig","pkgconfig","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"pkgload","pkgload","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"plogr","plogr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"plot3D","plot3D","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.0.3"
"plotly","plotly","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4.10.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"plyr","plyr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"png","png","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"polyclip","polyclip","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.0.0"
"polycor","polycor","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.8-1",NA,"R (>= 3.3.0)","stats, mvtnorm, Matrix, parallel, admisc (>= 0.22)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"posterior","posterior","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,"R (>= 3.2.0)","abind, checkmate, rlang (>= 0.4.7), stats, tibble (>= 3.0.0),
vctrs, tensorA, pillar, distributional, parallel, matrixStats",NA,"testthat (>= 2.1.0), caret (>= 6.0.84), gbm (>= 2.1.8),
randomForest (>= 4.6.14), e1071 (>= 1.7.3), dplyr, tidyr,
knitr, rmarkdown",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"ppcor","ppcor","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1",NA,"R (>= 2.6.0), MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"pracma","pracma","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.3.8",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"praise","praise","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"prettyunits","prettyunits","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"pROC","pROC","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"processx","processx","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.5.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), cli, codetools, covr, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"prodlim","prodlim","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"profvis","profvis","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.7",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"progress","progress","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"progressr","progressr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.9.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"projpred","projpred","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.0.2",NA,"R (>= 3.5.0)","methods, dplyr, loo (>= 2.0.0), rstantools (>= 2.0.0), lme4,
optimx, ggplot2, Rcpp, utils, rngtools (>= 1.2.4), tidyverse,
MASS, magrittr, mgcv, gamm4","Rcpp, RcppArmadillo","rstanarm, brms, testthat, knitr, rmarkdown, glmnet, bayesplot
(>= 1.5.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"promises","promises","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"proto","proto","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"protolite","protolite","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, RProtoBuf, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"proxy","proxy","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4-26",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"ps","ps","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"psych","psych","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1.9",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"purrr","purrr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"qgam","qgam","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.3.3",NA,"R (>= 3.5.0), mgcv (>= 1.8-28)","shiny, plyr, doParallel, parallel, grDevices",NA,"knitr, rmarkdown, MASS, RhpcBLASctl, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"quantreg","quantreg","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","5.93",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"tripack, akima, rgl, logspline, nor1mix, Formula, zoo, R.rsp,
conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"R.methodsS3","R.methodsS3","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.8.1",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.oo","R.oo","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.24.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.0)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.2"
"R.utils","R.utils","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.11.0",NA,"R (>= 2.14.0), R.oo (>= 1.24.0)","methods, utils, tools, R.methodsS3 (>= 1.8.1)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.3"
"R2jags","R2jags","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.7-1",NA,"R (>= 2.14.0), rjags (>= 3-3)","abind, coda (>= 0.13), graphics, grDevices, methods,
R2WinBUGS, parallel, stats, utils",NA,"testthat (>= 3.0.0)",NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.0.3"
"R2WinBUGS","R2WinBUGS","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.1-21",NA,"R (>= 2.13.0), coda (>= 0.11-0), boot","utils, stats, graphics",NA,"BRugs (>= 0.3-2)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"R6","R6","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"RandomFields","RandomFields","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.3.14",NA,"R (>= 3.5.0), sp, RandomFieldsUtils (>= 1.1)","graphics, methods, grDevices, stats, utils","RandomFieldsUtils","colorspace, RColorBrewer, mvtnorm, raster, tcltk2, tcltk,
tkrplot, spam, tools, minqa, soma, optimx, nloptr, pso, GenSA",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"RandomFieldsUtils","RandomFieldsUtils","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.5",NA,"R (>= 3.0)","utils, methods, parallel",NA,"spam, RandomFields",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"RANN","RANN","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"rapidjsonr","rapidjsonr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"rappdirs","rappdirs","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"raster","raster","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.4-13",NA,"sp (>= 1.4.1), R (>= 3.5.0)","Rcpp, methods","Rcpp","rgdal (>= 1.5-8), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields,
exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"rasterVis","rasterVis","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.51.0",NA,"R (>= 3.0.0), methods, lattice (>= 0.20-41)","raster (>= 3.4-13), terra (>= 1.4-9), latticeExtra, stats,
utils, parallel, grid, grDevices, RColorBrewer, hexbin, sp (>=
1.0-6), zoo, viridisLite",NA,"rgl, ggplot2, colorspace, dichromat, sf",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"rbibutils","rbibutils","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.2.7",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"Rcgmin","Rcgmin","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2022-4.30",NA,"optextras",NA,NA,"numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"rcmdcheck","rcmdcheck","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"RColorBrewer","RColorBrewer","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.0"
"Rcpp","Rcpp","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.8.3",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RcppArmadillo","RcppArmadillo","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.10.7.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RcppEigen","RcppEigen","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.3.9.1",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"RcppEigenAD","RcppEigenAD","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.0",NA,NA,"Rcpp (>= 0.12.12), methods, RcppEigen, functional, memoise,
readr, Rdpack","Rcpp, RcppEigen, BH",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RcppGSL","RcppGSL","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.10",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RcppParallel","RcppParallel","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","5.1.4",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RcppProgress","RcppProgress","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"RcppRoll","RcppRoll","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
